[UDP] SrcIP=142.251.12.104, SrcPort=443, DstIP=172.16.1.190, DstPort=54579, Protocol=UDP
[UDP] SrcIP=142.251.12.104, SrcPort=443, DstIP=172.16.1.190, DstPort=54579, Protocol=UDP
[UDP] SrcIP=142.251.12.104, SrcPort=443, DstIP=172.16.1.190, DstPort=54579, Protocol=UDP
[UDP] SrcIP=172.16.1.190, SrcPort=54579, DstIP=142.251.12.104, DstPort=443, Protocol=UDP
[UDP] SrcIP=142.251.12.104, SrcPort=443, DstIP=172.16.1.190, DstPort=54579, Protocol=UDP
[UDP] SrcIP=142.251.12.104, SrcPort=443, DstIP=172.16.1.190, DstPort=54579, Protocol=UDP
[UDP] SrcIP=142.251.12.104, SrcPort=443, DstIP=172.16.1.190, DstPort=54579, Protocol=UDP
[UDP] SrcIP=142.251.12.104, SrcPort=443, DstIP=172.16.1.190, DstPort=54579, Protocol=UDP
[UDP] SrcIP=172.16.1.190, SrcPort=54579, DstIP=142.251.12.104, DstPort=443, Protocol=UDP
[UDP] SrcIP=172.16.1.190, SrcPort=54579, DstIP=142.251.12.104, DstPort=443, Protocol=UDP
[UDP] SrcIP=172.16.1.190, SrcPort=54579, DstIP=142.251.12.104, DstPort=443, Protocol=UDP
[UDP] SrcIP=142.251.12.104, SrcPort=443, DstIP=172.16.1.190, DstPort=54579, Protocol=UDP
[UDP] SrcIP=142.251.12.104, SrcPort=443, DstIP=172.16.1.190, DstPort=54579, Protocol=UDP
[UDP] SrcIP=172.16.1.190, SrcPort=54579, DstIP=142.251.12.104, DstPort=443, Protocol=UDP
[UDP] SrcIP=172.16.1.190, SrcPort=42055, DstIP=8.8.8.8, DstPort=53, Protocol=UDP
[DNS] ID=0x2d5d, QR=0, Opcode=0, AA=0, TC=0, RD=1, RA=0, Z=0, RCODE=0, QDCOUNT=1, ANCOUNT=0, NSCOUNT=0, ARCOUNT=1, Query=www.gstatic.com, Type=1, Class=1
[UDP] SrcIP=142.251.12.104, SrcPort=443, DstIP=172.16.1.190, DstPort=54579, Protocol=UDP
[UDP] SrcIP=142.251.12.104, SrcPort=443, DstIP=172.16.1.190, DstPort=54579, Protocol=UDP
[UDP] SrcIP=142.251.12.104, SrcPort=443, DstIP=172.16.1.190, DstPort=54579, Protocol=UDP
[UDP] SrcIP=142.251.12.104, SrcPort=443, DstIP=172.16.1.190, DstPort=54579, Protocol=UDP
